unitid,"cipcode",awlevel,crace01,crace02,crace03,crace04,crace05,crace06,crace07,crace08,crace09,crace10,crace11,crace12,bal_m,bal_w,crace15,crace16
100751,"50.0000",5,0,0,2,1,0,0,0,0,0,0,12,18,0,0,14,19
100751,"50.0000",7,0,0,1,,0,0,0,0,0,0,10,11,0,0,11,11
100751,"50.0000",9,0,0,1,,0,0,0,0,0,0,,2,0,0,1,2
100751,"99.0000",5,82,16,67,109,2,2,6,5,4,2,988,964,0,0,1149,1098
100751,"99.0000",7,30,7,5,11,2,3,3,1,,1,184,279,0,0,224,302
100751,"99.0000",8,,,,,,,,,,,2,4,0,0,2,4
100751,"99.0000",9,12,,3,6,,,1,,,,42,45,0,1,58,52
100751,"99.0000",10,0,0,0,0,1,,0,0,0,0,98,46,0,0,99,46
100760,"06.0000",3,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,8
100760,"07.0000",2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
100760,"07.0000",3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
100760,"11.0000",3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0
100760,"17.0000",3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,3
100760,"24.0000",3,0,0,7,12,0,0,0,0,0,0,33,50,0,0,40,62
100760,"43.0000",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
100760,"43.0000",3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,4,0
100760,"99.0000",2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2
100760,"99.0000",3,0,0,9,20,0,0,0,0,0,0,38,56,0,0,47,76
100812,"06.0000",5,1,2,2,9,,2,0,0,1,,94,89,0,0,98,102
100812,"07.0000",5,0,0,0,0,0,0,0,0,0,0,,6,,0,,6
100812,"11.0000",5,0,0,,1,1,,0,0,,1,13,9,0,0,14,11
100812,"13.0000",5,0,0,4,,0,0,0,0,0,0,30,102,0,0,34,102
100812,"18.0000",5,0,0,0,0,0,0,0,0,0,0,,4,,0,,4
100812,"23.0000",5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
100812,"24.0000",5,2,1,3,,0,0,0,0,0,0,8,6,0,0,13,7
100812,"26.0000",5,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,2
100812,"27.0000",5,0,0,,2,0,0,0,0,0,0,13,2,0,0,13,4
100812,"30.0000",5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2
100812,"38.0000",5,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,2
100812,"40.0000",5,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2
100812,"41.0000",5,1,,0,0,0,0,0,0,0,0,11,1,0,0,12,1
100812,"42.0000",5,0,0,1,2,0,0,0,0,0,0,10,15,0,0,11,17
100812,"43.0000",5,0,0,0,0,0,0,0,0,0,0,9,5,0,0,9,5
100812,"45.0000",5,0,0,0,0,0,0,0,0,0,0,6,3,0,0,6,3
100812,"50.0000",5,0,0,1,,0,0,0,0,0,0,1,2,0,0,2,2
100812,"99.0000",5,4,3,11,14,1,2,0,0,1,1,205,253,0,0,222,273
100821,"07.0000",1,0,0,1,1,,,0,0,0,0,,34,0,0,1,35
100821,"07.0000",2,0,0,,3,,6,0,0,0,0,,12,,0,,21
100821,"12.0000",2,0,0,11,,0,0,0,0,0,0,5,,0,,16,
100821,"13.0000",2,0,0,8,,0,0,0,0,0,0,11,,0,,19,
100821,"20.0000",2,0,0,5,,0,0,0,0,0,0,0,0,0,,5,
100821,"46.0000",2,0,0,4,,0,0,0,0,0,0,0,0,0,,4,
100821,"47.0000",1,0,0,,,0,0,0,0,0,0,24,,0,,24,
